country,year,production,export,domestic_consumption,gross_opening_stock,coffee_type
Angola,1990,50345,84.35,20,210,Brazilan Naturals
Angola,1990,50345,84.35,20,210,Robustas
Bolivia (Plurinational State of),1990,122777,156442,25,54,Other Milds
Brazil,1990,27285.6286,16935.7876,8200,26926,Brazilan Naturals
Brazil,1990,27285.6286,16935.7876,8200,26926,Robustas
Burundi,1990,487393,584773,2,77,Other Milds
Burundi,1990,487393,584773,2,77,Robustas
Ecuador,1990,1503815,1783.716,350,723963,Other Milds
Ecuador,1990,1503815,1783.716,350,723963,Robustas
Indonesia,1990,7441383,6903.226999,1242,1319,Brazilan Naturals